com,reg,dep,libelle,d_nccenr,d_libelle,r_nccenr,r_libelle
1063,84,1,Brion,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1064,84,1,Briord,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1065,84,1,Buellas,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1066,84,1,La Burbanche,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1067,84,1,Ceignes,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1068,84,1,Cerdon,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1069,84,1,Certines,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1071,84,1,Cessy,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1072,84,1,Ceyzériat,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1073,84,1,Ceyzérieu,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1074,84,1,Chalamont,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1075,84,1,Chaleins,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1076,84,1,Chaley,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1077,84,1,Challes-la-Montagne,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1078,84,1,Challex,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1079,84,1,Champagne-en-Valromey,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1080,84,1,Champdor-Corcelles,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1080,,,Champdor,,,,
1081,84,1,Champfromier,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1082,84,1,Chanay,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1083,84,1,Chaneins,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1084,84,1,Chanoz-Châtenay,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1085,84,1,La Chapelle-du-Châtelard,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1087,84,1,Charix,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1088,84,1,Charnoz-sur-Ain,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1089,84,1,Château-Gaillard,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1090,84,1,Châtenay,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1091,,,Châtillon-en-Michaille,,,,
1092,84,1,Châtillon-la-Palud,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1093,84,1,Châtillon-sur-Chalaronne,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1094,84,1,Chavannes-sur-Reyssouze,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1095,84,1,Nivigne et Suran,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1095,,,Chavannes-sur-Suran,,,,
1096,84,1,Chaveyriat,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1097,,,Chavornay,,,,
1098,84,1,Chazey-Bons,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1098,,,Chazey-Bons,,,,
1099,84,1,Chazey-sur-Ain,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1100,84,1,Cheignieu-la-Balme,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1101,84,1,Chevillard,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1102,84,1,Chevroux,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1103,84,1,Chevry,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1104,84,1,Chézery-Forens,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1105,84,1,Civrieux,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1106,84,1,Cize,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1107,84,1,Cleyzieu,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1108,84,1,Coligny,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1109,84,1,Collonges,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1110,84,1,Colomieu,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1111,84,1,Conand,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1112,84,1,Condamine,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1113,84,1,Condeissiat,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1114,84,1,Confort,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1115,84,1,Confrançon,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1116,84,1,Contrevoz,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1117,84,1,Conzieu,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1118,84,1,Corbonod,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1119,,,Corcelles,,,,
1120,,,Cordieux,,,,
1121,84,1,Corlier,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1122,,,Cormaranche-en-Bugey,,,,
1123,84,1,Cormoranche-sur-Saône,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1124,84,1,Cormoz,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1125,84,1,Corveissiat,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1127,84,1,Courmangoux,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1128,84,1,Courtes,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1129,84,1,Crans,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1130,84,1,Bresse Vallons,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1130,,,Cras-sur-Reyssouze,,,,
1133,84,1,Cressin-Rochefort,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1134,84,1,Crottet,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1135,84,1,Crozet,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1136,84,1,Cruzilles-lès-Mépillat,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1137,,,Cuisiat,,,,
1138,84,1,Culoz,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1139,84,1,Curciat-Dongalon,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1140,84,1,Curtafond,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1141,84,1,Cuzieu,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1142,84,1,Dagneux,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1143,84,1,Divonne-les-Bains,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1144,,,Dommartin,,,,
1145,84,1,Dompierre-sur-Veyle,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1146,84,1,Dompierre-sur-Chalaronne,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1147,84,1,Domsure,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1148,84,1,Dortan,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1149,84,1,Douvres,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1150,84,1,Drom,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
